ANGGARAN TAHUN 2025;;;;;;;;;;;;;;
PT. PERSIJA JAKARTA HEBAT;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BIAYA;;;;;;;;;;;;;;
5-01. BOARDING SCHOOL;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
Gaji;;;;;;;;;;;;;;
5-0101-01;Gaji Pelatih dan Staff; 420.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 
;Tunjangan Hari Raya; 15.500.000 ;;; 13.000.000 ;;;;;;;;; 2.500.000 
Fasilitas;;;;;;;;;;;;;;
5-0102-01;Konsumsi; 2.410.000.000 ; 210.000.000 ; 210.000.000 ; 210.000.000 ; 210.000.000 ; 210.000.000 ; 210.000.000 ; 210.000.000 ; 210.000.000 ; 210.000.000 ; 210.000.000 ; 210.000.000 ; 100.000.000 
5-0102-02;Seragam; 100.000.000 ;; 50.000.000 ;;;;; 50.000.000 ;;;;;
5-0102-03;Kursus dan Pendidikan; 660.000.000 ; 55.000.000 ; 55.000.000 ; 55.000.000 ; 55.000.000 ; 55.000.000 ; 55.000.000 ; 55.000.000 ; 55.000.000 ; 55.000.000 ; 55.000.000 ; 55.000.000 ; 55.000.000 
5-0102-04;Laundry; - ;;;;;;;;;;;;
;Mess; 188.000.000 ; 24.000.000 ; 14.000.000 ; 14.000.000 ; 14.000.000 ; 14.000.000 ; 14.000.000 ; 24.000.000 ; 14.000.000 ; 14.000.000 ; 14.000.000 ; 14.000.000 ; 14.000.000 
Operasional Latihan;;;;;;;;;;;;;;
5-0103-01;Sewa Lapangan; 93.600.000 ; 7.800.000 ; 7.800.000 ; 7.800.000 ; 7.800.000 ; 7.800.000 ; 7.800.000 ; 7.800.000 ; 7.800.000 ; 7.800.000 ; 7.800.000 ; 7.800.000 ; 7.800.000 
5-0103-02;Operasional Latihan Harian; 109.082.000 ; 4.536.000 ; 13.186.000 ; 3.936.000 ; 13.186.000 ; 11.586.000 ; 6.986.000 ; 6.986.000 ; 9.736.000 ; 9.736.000 ; 9.736.000 ; 9.736.000 ; 9.736.000 
5-0103-03;Pertandingan Uji Coba; - ;;;;;;;;;;;;
;Pertandingan; 62.500.000 ; 37.500.000 ; 6.000.000 ;; 6.000.000 ; 6.000.000 ;; - ;;; 7.000.000 ;;
5-0103-04;Perlengkapan Latihan; 52.575.000 ; 6.000.000 ; 14.375.000 ; 5.000.000 ;;; 4.000.000 ; 15.200.000 ;;; 4.000.000 ; 4.000.000 ;
5-0103-05;Medis; - ;;;;;;;;;;;;
Operasional Lainnya;;;;;;;;;;;;;;
5-0104-01;Hotline; 1.800.000 ; 150.000 ; 150.000 ; 150.000 ; 150.000 ; 150.000 ; 150.000 ; 150.000 ; 150.000 ; 150.000 ; 150.000 ; 150.000 ; 150.000 
5-0104-02;Promosi / Komisi; 64.000.000 ; 10.000.000 ; 6.000.000 ; 4.000.000 ; 4.000.000 ; 4.000.000 ; 6.000.000 ; 6.000.000 ; 4.000.000 ; 4.000.000 ; 6.000.000 ; 6.000.000 ; 4.000.000 
;Field Trip ; 165.060.000 ;;;;;;; 30.000.000 ;;;;; 135.060.000 
;Wisuda & MOS; 45.000.000 ;;;;; 15.000.000 ;;; 30.000.000 ;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TOTAL BIAYA;; 4.387.117.000 ; 389.986.000 ; 411.511.000 ; 347.886.000 ; 345.136.000 ; 358.536.000 ; 338.936.000 ; 440.136.000 ; 365.686.000 ; 335.686.000 ; 348.686.000 ; 341.686.000 ; 363.246.000 
;;;;;;;;;;;;;;
5-02. SS - SAWANGAN;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
Gaji;;;;;;;;;;;;;;
5-0201-01;Gaji Pelatih dan Staff; 322.800.000 ; 25.800.000 ; 27.000.000 ; 27.000.000 ; 27.000.000 ; 27.000.000 ; 27.000.000 ; 27.000.000 ; 27.000.000 ; 27.000.000 ; 27.000.000 ; 27.000.000 ; 27.000.000 
Fasilitas;;;;;;;;;;;;;;
5-0202-01;Seragam; 27.500.000 ; 12.500.000 ;;;; 5.000.000 ;; 5.000.000 ;;; 5.000.000 ;;
Operasional Latihan;;;;;;;;;;;;;;
5-0203-01;Sewa Lapangan; 62.400.000 ; 5.200.000 ; 5.200.000 ; 5.200.000 ; 5.200.000 ; 5.200.000 ; 5.200.000 ; 5.200.000 ; 5.200.000 ; 5.200.000 ; 5.200.000 ; 5.200.000 ; 5.200.000 
5-0203-02;Operasional Latihan Harian; 40.560.000 ; 1.380.000 ; 5.880.000 ; 1.380.000 ; 4.880.000 ; 1.880.000 ; 1.880.000 ; 4.880.000 ; 1.880.000 ; 4.880.000 ; 1.880.000 ; 4.880.000 ; 4.880.000 
5-0203-03;Perlengkapan Latihan; 33.575.000 ; 4.400.000 ; 7.200.000 ; 5.000.000 ; 5.575.000 ; 200.000 ; 200.000 ; 10.000.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000 
5-0203-04;Medis;;;;;;;;;;;;;
Operasional Lainnya;;;;;;;;;;;;;;
5-0204-01;Hotline; - ;;;;;;;;;;;;
5-0204-02;Promosi / Komisi; 50.000.000 ; 3.500.000 ; 5.500.000 ; 3.500.000 ; 3.500.000 ; 5.500.000 ; 3.500.000 ; 5.500.000 ; 3.500.000 ; 5.500.000 ; 3.500.000 ; 3.500.000 ; 3.500.000 
;;;;;;;;;;;;;;
TOTAL BIAYA;; 536.835.000 ; 52.780.000 ; 50.780.000 ; 42.080.000 ; 46.155.000 ; 44.780.000 ; 37.780.000 ; 57.580.000 ; 37.780.000 ; 42.780.000 ; 42.780.000 ; 40.780.000 ; 40.780.000 
;;;;;;;;;;;;;;
5-03. SS - KINGKONG;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
Gaji;;;;;;;;;;;;;;
5-0301-01;Gaji Pelatih dan Staff; 306.200.000 ; 24.000.000 ; 26.000.000 ; 22.200.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 
Fasilitas;;;;;;;;;;;;;;
5-0302-01;Seragam; 22.500.000 ; 12.500.000 ;;;; 5.000.000 ;; 5.000.000 ;;;;;
Operasional Latihan;;;;;;;;;;;;;;
5-0303-01;Sewa Lapangan; 144.000.000 ; 12.000.000 ; 12.000.000 ; 12.000.000 ; 12.000.000 ; 12.000.000 ; 12.000.000 ; 12.000.000 ; 12.000.000 ; 12.000.000 ; 12.000.000 ; 12.000.000 ; 12.000.000 
5-0303-02;Operasional Latihan Harian; 37.680.000 ; 1.140.000 ; 5.640.000 ; 1.140.000 ; 4.640.000 ; 1.640.000 ; 1.640.000 ; 4.640.000 ; 1.640.000 ; 4.640.000 ; 1.640.000 ; 4.640.000 ; 4.640.000 
5-0303-03;Perlengkapan Latihan; 33.575.000 ; 4.400.000 ; 7.200.000 ; 5.000.000 ; 5.575.000 ; 200.000 ; 200.000 ; 10.000.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000 
5-0303-04;Medis;;;;;;;;;;;;;
Operasional Lainnya;;;;;;;;;;;;;;
5-0304-01;Hotline; - ;;;;;;;;;;;;
5-0304-02;Promosi / Komisi; 50.000.000 ; 3.500.000 ; 5.500.000 ; 3.500.000 ; 3.500.000 ; 5.500.000 ; 3.500.000 ; 5.500.000 ; 3.500.000 ; 5.500.000 ; 3.500.000 ; 3.500.000 ; 3.500.000 
;;;;;;;;;;;;;;
TOTAL BIAYA;; 593.955.000 ; 57.540.000 ; 56.340.000 ; 43.840.000 ; 51.715.000 ; 50.340.000 ; 43.340.000 ; 63.140.000 ; 43.340.000 ; 48.340.000 ; 43.340.000 ; 46.340.000 ; 46.340.000 
;;;;;;;;;;;;;;
5-04. SS - PULOMAS;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
Gaji;;;;;;;;;;;;;;
5-0401-01;Gaji Pelatih dan Staff; 308.000.000 ; 24.000.000 ; 26.000.000 ; 24.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 
Fasilitas;;;;;;;;;;;;;;
5-0402-01;Seragam; 27.500.000 ; 12.500.000 ;;;; 5.000.000 ;; 5.000.000 ;; 5.000.000 ;;;
Operasional Latihan;;;;;;;;;;;;;;
