ANGGARAN TAHUN 2025;;;;;;;;;;;;;;
PT. PERSIJA JAKARTA HEBAT;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BIAYA;;;;;;;;;;;;;;
5-01. BOARDING SCHOOL;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
Gaji;;;;;;;;;;;;;;
5-0101-01;Gaji Pelatih dan Staff; 420.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000
5-0101-02;Tunjangan Hari Raya; 15.500.000 ;;; 13.000.000 ;;;;;;;;; 2.500.000
Fasilitas;;;;;;;;;;;;;;
5-0102-01;Konsumsi; 420.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000 ; 35.000.000
5-0102-02;Seragam; 100.000.000 ; 100.000.000 ;;;;;;;;;;;
5-0102-03;Perlengkapan Latihan; 180.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000
5-0102-04;Laundry; 24.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000
Operasional Latihan;;;;;;;;;;;;;;
5-0103-01;Sewa Lapangan; 240.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000
5-0103-02;Turnamen/Kompetisi; 60.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000
