ANGGARAN TAHUN 2025;;;;;;;;;;;;;;
PT. PERSIJA JAKARTA HEBAT (DUMMY - EXPANDED);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BIAYA;;;;;;;;;;;;;;
5-01. MANAJEMEN;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOVEMBER;DESEMBER
Gaji & Tunjangan;;;;;;;;;;;;;;
5-0101-01;Gaji Direksi; 1.200.000.000 ; 100.000.000 ; 100.000.000 ; 100.000.000 ; 100.000.000 ; 100.000.000 ; 100.000.000 ; 100.000.000 ; 100.000.000 ; 100.000.000 ; 100.000.000 ; 100.000.000 ; 100.000.000 
5-0101-02;Gaji Staff Finance; 360.000.000 ; 30.000.000 ; 30.000.000 ; 30.000.000 ; 30.000.000 ; 30.000.000 ; 30.000.000 ; 30.000.000 ; 30.000.000 ; 30.000.000 ; 30.000.000 ; 30.000.000 ; 30.000.000 
5-0101-03;THR & Bonus; 200.000.000 ;;;; 100.000.000 ;;;;;;;; 100.000.000 
Operasional Kantor;;;;;;;;;;;;;;
5-0102-01;Alat Tulis Kantor (ATK); 24.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 
5-0102-02;Internet & Telepon; 60.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 
5-0102-03;Listrik & Air; 48.000.000 ; 4.000.000 ; 4.000.000 ; 4.000.000 ; 4.000.000 ; 4.000.000 ; 4.000.000 ; 4.000.000 ; 4.000.000 ; 4.000.000 ; 4.000.000 ; 4.000.000 ; 4.000.000 
5-0102-04;Pantry & Konsumsi Rapat; 36.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 
Perjalanan Dinas;;;;;;;;;;;;;;
5-0103-01;Tiket Pesawat & Transport; 100.000.000 ; 8.000.000 ; 8.000.000 ; 8.000.000 ; 8.000.000 ; 10.000.000 ; 8.000.000 ; 8.000.000 ; 8.000.000 ; 10.000.000 ; 8.000.000 ; 8.000.000 ; 8.000.000 
5-0103-02;Akomodasi Hotel; 50.000.000 ; 4.000.000 ; 4.000.000 ; 4.000.000 ; 4.000.000 ; 5.000.000 ; 4.000.000 ; 4.000.000 ; 4.000.000 ; 5.000.000 ; 4.000.000 ; 4.000.000 ; 4.000.000 
5-0103-03;Uang Saku Dinas; 25.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.500.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 ; 2.500.000 ; 2.000.000 ; 2.000.000 ; 2.000.000 
Legal & Konsultan;;;;;;;;;;;;;;
5-0104-01;Jasa Hukum; 50.000.000 ;;;; 25.000.000 ;;;;;;;; 25.000.000 
5-0104-02;Konsultan Pajak; 30.000.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 
;;;;;;;;;;;;;;
5-02. EDP (IT);;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOVEMBER;DESEMBER
Hardware & Aset;;;;;;;;;;;;;;
5-0201-01;Pembelian Laptop (CAPEX); 100.000.000 ; 50.000.000 ;;;;;; 50.000.000 ;;;;;
5-0201-02;Server Fisik; 50.000.000 ;;; 50.000.000 ;;;;;;;;;
5-0201-03;Periferal (Mouse, Keyboard); 10.000.000 ; 1.000.000 ; 500.000 ; 500.000 ; 500.000 ; 1.000.000 ; 500.000 ; 500.000 ; 1.000.000 ; 500.000 ; 1.000.000 ; 1.500.000 ; 1.500.000 
Software & Lisensi;;;;;;;;;;;;;;
5-0202-01;Lisensi Microsoft Office; 24.000.000 ; 24.000.000 ;;;;;;;;;;;
5-0202-02;Langganan Zoom Pro; 3.600.000 ; 300.000 ; 300.000 ; 300.000 ; 300.000 ; 300.000 ; 300.000 ; 300.000 ; 300.000 ; 300.000 ; 300.000 ; 300.000 ; 300.000 
5-0202-03;Cloud AWS/GCP; 120.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 
Maintenance & Support;;;;;;;;;;;;;;
5-0203-01;Servis Laptop Rusak; 12.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 
5-0203-02;Jasa Instalasi Jaringan; 15.000.000 ;;; 5.000.000 ;;; 5.000.000 ;;; 5.000.000 ;;
;;;;;;;;;;;;;;
5-03. AKADEMI (SS BEKASI);;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOVEMBER;DESEMBER
Operasional Latihan;;;;;;;;;;;;;;
5-0301-01;Sewa Lapangan Latihan; 240.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 ; 20.000.000 
5-0301-02;Air Minum & Es Batu; 12.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 
5-0301-03;P3K & Medis Ringan; 6.000.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 
Perlengkapan;;;;;;;;;;;;;;
5-0302-01;Bola Sepak; 20.000.000 ; 10.000.000 ;;;;;; 10.000.000 ;;;;;
